entropy_p1,entropy_p2,episode,policy_loss_p1,policy_loss_p2,return_p1,value_loss
1.3715651035308838,1.371882677078247,0,-67.4391860961914,69.81676483154297,-15.0,169.87416076660156
1.373292088508606,1.3652911186218262,1,-110.77056884765625,100.84748077392578,-11.0,91.16827392578125
1.3611435890197754,1.3459500074386597,2,-314.4941101074219,287.2997131347656,-18.0,100.59136962890625
1.351607322692871,1.3636049032211304,3,-59.466148376464844,44.99873352050781,-15.0,151.9033203125
1.3581116199493408,1.3689746856689453,4,-44.897064208984375,43.33793258666992,-10.0,79.65875244140625
1.3628357648849487,1.3370026350021362,5,-96.97047424316406,99.5790786743164,-11.0,73.5316162109375
1.354550838470459,1.3358057737350464,6,-147.03553771972656,132.60240173339844,-17.0,159.6077423095703
1.360979437828064,1.361626386642456,7,-189.37362670898438,180.76390075683594,-5.0,118.55044555664062
1.350021481513977,1.3475091457366943,8,-301.7443542480469,291.4469299316406,-23.0,88.74817657470703
1.3650143146514893,1.3413646221160889,9,-281.1170959472656,295.2894592285156,-14.0,116.24871826171875
1.3405060768127441,1.3530999422073364,10,47.34233093261719,-47.50455856323242,2.0,7.5787672996521
1.3445645570755005,1.3385365009307861,11,-392.43939208984375,407.31402587890625,-35.0,198.25054931640625
1.2980667352676392,1.3150224685668945,12,-33.3150749206543,48.364383697509766,-10.0,57.98100280761719
1.3435126543045044,1.345786213874817,13,-75.70698547363281,79.46905517578125,-2.0,32.62311553955078
1.346762776374817,1.3562272787094116,14,-111.56140899658203,107.2845458984375,0.0,74.77255249023438
1.3455818891525269,1.347229242324829,15,-47.637535095214844,53.119869232177734,-14.0,107.37255859375
1.3097823858261108,1.325344204902649,16,-85.89534759521484,85.89791107177734,-9.0,26.80753517150879
1.3546181917190552,1.3492931127548218,17,216.2209014892578,-228.9734344482422,19.0,68.88597106933594
1.3030421733856201,1.3023041486740112,18,-95.02882385253906,91.83558654785156,-11.0,33.41553497314453
1.2761666774749756,1.306153416633606,19,-97.8185043334961,80.41007232666016,-16.0,113.6772689819336
1.3455517292022705,1.338778018951416,20,65.18262481689453,-65.08802795410156,2.0,7.108731746673584
1.3343719244003296,1.3337849378585815,21,-67.35999298095703,62.78855514526367,-11.0,64.10782623291016
1.31702721118927,1.328635334968567,22,-43.7759895324707,47.667598724365234,-3.0,22.969770431518555
1.3374754190444946,1.3503373861312866,23,-30.75414276123047,32.5748291015625,-10.0,65.35025024414062
1.3216633796691895,1.3394408226013184,24,-15.950650215148926,16.132171630859375,-10.0,53.982337951660156
1.33329439163208,1.358567714691162,25,-29.391986846923828,31.658357620239258,-5.0,47.139366149902344
1.2999274730682373,1.3013267517089844,26,-110.6352767944336,112.31002807617188,-19.0,115.08592987060547
1.3369783163070679,1.32732355594635,27,-103.26545715332031,106.46111297607422,-3.0,17.598894119262695
1.3223952054977417,1.348189115524292,28,-151.07376098632812,143.991455078125,-4.0,54.1313591003418
1.2949286699295044,1.3234769105911255,29,-125.83654022216797,123.57059478759766,-6.0,61.00754165649414
1.3228868246078491,1.3371734619140625,30,-14.094612121582031,13.772316932678223,-6.0,32.722503662109375
1.307944416999817,1.349186658859253,31,-42.429588317871094,47.65639877319336,-5.0,43.11180877685547
1.31765878200531,1.3334801197052002,32,-39.040130615234375,43.11921310424805,-9.0,42.05768585205078
1.337211012840271,1.3313158750534058,33,-369.8122863769531,350.2010803222656,-20.0,145.0762176513672
1.317712426185608,1.3364044427871704,34,-28.139020919799805,31.340152740478516,-1.0,29.578369140625
1.2662736177444458,1.2919743061065674,35,-47.12105941772461,37.89326858520508,-14.0,64.37828826904297
1.3320891857147217,1.3522382974624634,36,-73.8575210571289,76.27872467041016,-10.0,36.74738693237305
1.3242770433425903,1.312677025794983,37,-44.688453674316406,47.42404556274414,-11.0,59.280235290527344
1.294177770614624,1.2982919216156006,38,-117.63172912597656,109.78394317626953,-15.0,77.01551818847656
1.3178786039352417,1.3436824083328247,39,-92.31230926513672,103.04195404052734,-10.0,44.19914627075195
1.3258506059646606,1.3438518047332764,40,-24.377565383911133,23.316314697265625,-1.0,20.964323043823242
1.3186209201812744,1.3177257776260376,41,-56.06144714355469,71.56389617919922,-8.0,47.219581604003906
1.3404990434646606,1.3366703987121582,42,-268.3574523925781,265.33990478515625,-26.0,156.67245483398438
1.3236979246139526,1.3295350074768066,43,-150.0096893310547,133.93911743164062,-16.0,21.216175079345703
1.3135868310928345,1.2881555557250977,44,-35.18690872192383,38.295650482177734,-4.0,15.106118202209473
1.2011914253234863,1.2663242816925049,45,-60.100799560546875,36.2864990234375,-16.0,85.86991882324219
1.3175716400146484,1.3351391553878784,46,-27.03433609008789,24.10020637512207,-5.0,18.597084045410156
1.332260012626648,1.3424856662750244,47,46.90541076660156,-71.82777404785156,11.0,47.20066452026367
1.3083466291427612,1.3131247758865356,48,-16.090866088867188,28.801538467407227,0.0,36.535606384277344
1.3241376876831055,1.3041406869888306,49,-153.7698516845703,158.78012084960938,-13.0,35.30401611328125
1.3121329545974731,1.3075681924819946,50,-135.3817596435547,160.5548858642578,-14.0,60.052452087402344
1.3083709478378296,1.3408182859420776,51,-35.387081146240234,37.833675384521484,-2.0,37.16361999511719
1.296543002128601,1.292151927947998,52,-60.29191970825195,41.95003128051758,-15.0,76.66206359863281
1.2447075843811035,1.2157697677612305,53,-18.69788932800293,17.00183868408203,-10.0,37.5671272277832
1.312637448310852,1.3087730407714844,54,-56.39771270751953,60.210304260253906,-9.0,23.81293296813965
1.2866802215576172,1.3125722408294678,55,-63.61085510253906,52.29872512817383,-18.0,102.48763275146484
1.2970863580703735,1.2860095500946045,56,-106.02164459228516,108.28741455078125,-10.0,36.75714874267578
1.2547491788864136,1.2943087816238403,57,-18.64324951171875,26.77147674560547,-10.0,31.79869842529297
1.2551554441452026,1.2653175592422485,58,-46.870933532714844,47.93295669555664,-14.0,69.1374740600586
1.3034203052520752,1.3107264041900635,59,-80.83439636230469,60.34911346435547,-7.0,26.301509857177734
1.171201229095459,1.2266818284988403,60,-30.64914321899414,27.507431030273438,-14.0,56.28000259399414
1.3062264919281006,1.2761650085449219,61,-77.86150360107422,57.83876037597656,-10.0,29.4389591217041
1.3089066743850708,1.318108081817627,62,-105.15982055664062,76.15572357177734,-6.0,23.33124351501465
1.3200803995132446,1.2988754510879517,63,184.9058380126953,-194.02597045898438,3.0,42.938289642333984
1.2165387868881226,1.2358322143554688,64,-84.2581787109375,113.63760375976562,-22.0,109.26632690429688
1.2659685611724854,1.249803066253662,65,170.16290283203125,-140.59494018554688,5.0,63.659400939941406
1.2072343826293945,1.1919035911560059,66,-8.153228759765625,4.47615385055542,-10.0,15.705698013305664
1.1840903759002686,1.1983294486999512,67,-14.318325996398926,14.326920509338379,-10.0,26.015113830566406
