entropy_p1,entropy_p2,episode,policy_loss_p1,policy_loss_p2,return_p1
1.3699512481689453,1.3595284223556519,0,-48.78434371948242,42.87451171875,-5.0
1.3721586465835571,1.3651601076126099,1,-100.04647827148438,96.49639129638672,-12.0
1.3503925800323486,1.342234492301941,2,-74.84286499023438,63.94630432128906,-3.0
1.3723219633102417,1.3591951131820679,3,-187.00698852539062,186.8160400390625,-21.0
1.3703389167785645,1.3263747692108154,4,-52.68717956542969,51.343143463134766,-11.0
1.3712711334228516,1.3378682136535645,5,-183.3820343017578,172.66810607910156,-19.0
1.3736392259597778,1.3380109071731567,6,-39.3781623840332,37.337005615234375,-10.0
1.36123788356781,1.33565092086792,7,-62.39985656738281,65.44129180908203,-7.0
1.3411545753479004,1.2647521495819092,8,-130.9059295654297,120.78096008300781,-16.0
1.346020221710205,1.2880573272705078,9,-44.02064895629883,40.14771270751953,-14.0
1.349452018737793,1.265199065208435,10,-159.53988647460938,134.17526245117188,-21.0
1.3327198028564453,1.284743309020996,11,-106.16096496582031,102.04886627197266,-3.0
1.3541791439056396,1.2395118474960327,12,-73.14420318603516,38.91937255859375,-15.0
1.3338792324066162,1.2399486303329468,13,-75.56669616699219,65.83631134033203,-15.0
1.3102083206176758,1.1561517715454102,14,-32.829471588134766,14.752423286437988,-10.0
1.3481647968292236,1.3021798133850098,15,-102.7015380859375,83.01126861572266,-10.0
1.3607242107391357,1.3106440305709839,16,-208.08055114746094,194.28408813476562,-14.0
1.3515526056289673,1.2943165302276611,17,-25.665267944335938,23.860248565673828,3.0
1.3459935188293457,1.294512152671814,18,-45.9603385925293,50.8770751953125,-4.0
1.293105125427246,1.1685798168182373,19,-43.21432876586914,23.572874069213867,-7.0
1.3359054327011108,1.2639013528823853,20,160.82057189941406,-164.365234375,5.0
1.34171724319458,1.230944275856018,21,-168.3511199951172,182.3629913330078,-14.0
1.3425931930541992,1.26785409450531,22,85.29302978515625,-91.75062561035156,5.0
1.2831263542175293,1.0946385860443115,23,-34.665428161621094,39.512542724609375,-6.0
1.3405331373214722,1.2470334768295288,24,135.12767028808594,-107.83313751220703,7.0
1.2842116355895996,1.0587636232376099,25,-48.6167106628418,35.694252014160156,-15.0
1.3317418098449707,1.2414920330047607,26,-228.7667236328125,255.3916778564453,-15.0
1.3426185846328735,1.2837061882019043,27,255.57772827148438,-222.95986938476562,19.0
1.3116718530654907,1.2376841306686401,28,117.35040283203125,-90.17620849609375,7.0
1.3280665874481201,1.2582138776779175,29,-329.85821533203125,268.1380920410156,-29.0
1.3034372329711914,1.1553776264190674,30,-127.19317626953125,153.83050537109375,-17.0
1.2911816835403442,1.125305414199829,31,-81.72506713867188,65.96028900146484,-16.0
1.3045806884765625,1.2003036737442017,32,-257.4081726074219,224.23207092285156,-23.0
1.2648918628692627,1.1691057682037354,33,-58.681983947753906,49.25505828857422,-15.0
1.2589831352233887,1.0600088834762573,34,-40.418548583984375,39.15898895263672,-10.0
1.3091243505477905,1.2069530487060547,35,-96.46057891845703,62.9581298828125,-11.0
1.2745604515075684,1.0622520446777344,36,-50.25755310058594,27.015722274780273,-11.0
1.3263909816741943,1.2146960496902466,37,-27.354995727539062,13.513254165649414,-1.0
1.3311399221420288,1.2302931547164917,38,-175.89378356933594,143.0477294921875,-19.0
1.3035720586776733,1.2585906982421875,39,-174.39251708984375,120.87059020996094,-19.0
1.2889529466629028,1.173821210861206,40,-72.61944580078125,78.94915771484375,-11.0
1.1968908309936523,0.8356940150260925,41,-28.053813934326172,42.43817138671875,-10.0
1.3224282264709473,1.2192641496658325,42,-57.40126037597656,44.0777587890625,-3.0
1.2673145532608032,0.9915573000907898,43,-72.22311401367188,43.0049934387207,-18.0
