entropy_p1,entropy_p2,episode,policy_loss_p1,policy_loss_p2,return_p1,value_loss
1.060119867324829,1.0619356632232666,0,-0.9578148126602173,1.2370340824127197,-1.0,0.8249608874320984
1.024342656135559,1.0828070640563965,1,0.833016037940979,-1.4373692274093628,1.0,1.6528186798095703
0.9418660998344421,1.084139347076416,2,0.6219485998153687,-1.4298039674758911,1.0,1.6048412322998047
0.8297275304794312,1.0806183815002441,3,0.05958105996251106,-0.16916832327842712,0.0,0.034051816910505295
0.7255074381828308,1.0784223079681396,4,0.022441497072577477,-0.10002060234546661,0.0,0.011120486073195934
0.6362317800521851,1.0764868259429932,5,0.0011128569021821022,-0.03914013132452965,0.0,0.0011236951686441898
0.5615229606628418,1.0741641521453857,6,-0.1922921985387802,1.14281165599823,-1.0,1.0581648349761963
0.5185052156448364,1.073391318321228,7,0.15070578455924988,-1.4217389822006226,1.0,0.9461475014686584
0.4699886441230774,1.0622847080230713,8,-0.013751456514000893,0.04885054752230644,0.0,0.004303164314478636
0.4301694631576538,1.0499460697174072,9,-0.13679160177707672,0.9743453860282898,-1.0,1.1980887651443481
0.40724238753318787,1.0357630252838135,10,0.09849560260772705,-1.5964914560317993,1.0,0.839992105960846
0.3800390958786011,1.0141419172286987,11,-0.11557812988758087,0.8319796919822693,-1.0,1.2151373624801636
0.36562415957450867,0.9889424443244934,12,-0.2540868818759918,0.1650342047214508,0.0,0.007886843755841255
0.3468450903892517,0.9648454189300537,13,-0.010091125965118408,0.06951314210891724,0.0,0.005505772307515144
0.3310825526714325,0.9417079091072083,14,-0.09191334992647171,0.615630567073822,-1.0,1.1214845180511475
0.32366570830345154,0.9165902137756348,15,0.07636934518814087,-2.214543581008911,1.0,0.9625510573387146
0.31221798062324524,0.8870369791984558,16,0.0735827386379242,-2.3611321449279785,1.0,0.986467182636261
0.2977072298526764,0.8540630340576172,17,-0.0042420499958097935,0.013072721660137177,0.0,0.0003057111753150821
0.2851613759994507,0.8233583569526672,18,0.06355302780866623,-2.5931737422943115,1.0,0.9472187757492065
0.2705140709877014,0.7901248931884766,19,-0.006180820055305958,0.0635034516453743,0.0,0.0029940279200673103
0.25800445675849915,0.7604902982711792,20,-0.06687600910663605,0.3978704810142517,-1.0,1.1638234853744507
0.25129464268684387,0.7276128530502319,21,-0.06439322978258133,0.3650030195713043,-1.0,1.156160831451416
0.24928519129753113,0.6914429068565369,22,-0.06223828345537186,0.3224678039550781,-1.0,1.1000522375106812
0.2513362169265747,0.6522310972213745,23,-0.06036091595888138,0.27553796768188477,-1.0,1.00758695602417
0.2570074200630188,0.6105812788009644,24,-0.05865275114774704,0.2284548431634903,-1.0,0.8905997276306152
0.2659614086151123,0.5686091184616089,25,3.602130889892578,-0.25260940194129944,1.0,1.2731629610061646
0.2990538775920868,0.5336956977844238,26,-0.06315984576940536,0.1558380275964737,-1.0,0.6727072596549988
0.3344748914241791,0.4985519051551819,27,0.017495013773441315,-0.4768017530441284,0.0,0.058636974543333054
0.3679185211658478,0.4619535207748413,28,-0.07365535944700241,0.10497263073921204,-1.0,0.500148355960846
