entropy_p1,entropy_p2,episode,policy_loss_p1,policy_loss_p2,return_p1
1.0979385375976562,1.075852870941162,0,-1.055925965309143,0.8714995384216309,-1.0
1.0832040309906006,1.029389500617981,1,0.0,0.0,0.0
1.0562255382537842,0.9829041957855225,2,-1.5971035957336426,0.5680495500564575,-1.0
1.014333724975586,0.9139140844345093,3,0.0,0.0,0.0
0.9783888459205627,0.8498132228851318,4,0.7899883389472961,-0.38716840744018555,1.0
0.9452247023582458,0.8235059976577759,5,2.299938678741455,-1.8522101640701294,1.0
0.9389709830284119,0.7791301012039185,6,0.944734513759613,-1.9693396091461182,1.0
0.9382508993148804,0.7192238569259644,7,0.0,0.0,0.0
0.937422513961792,0.6666916608810425,8,0.0,0.0,0.0
0.9365226626396179,0.6207568049430847,9,-0.7032708525657654,2.3337948322296143,-1.0
0.9390994906425476,0.6090553998947144,10,0.7431098222732544,-0.20578527450561523,1.0
0.9375290274620056,0.6044067144393921,11,0.0,0.0,0.0
0.9361097812652588,0.6005055904388428,12,0.0,0.0,0.0
0.9348245859146118,0.5978747010231018,13,0.7513082027435303,-0.20025098323822021,1.0
0.9310601949691772,0.6008384227752686,14,0.0,0.0,0.0
0.9270476698875427,0.6036483645439148,15,-0.7010691165924072,2.228180408477783,-1.0
0.9268092513084412,0.6248090267181396,16,0.0,0.0,0.0
0.9265596270561218,0.6440934538841248,17,0.0,0.0,0.0
0.9263054728507996,0.6616222858428955,18,-0.7157633900642395,1.9942429065704346,-1.0
0.9286723136901855,0.6923703551292419,19,-0.826494574546814,2.5219717025756836,-1.0
0.9303480386734009,0.7340342998504639,20,-0.8291391134262085,2.4389708042144775,-1.0
0.9313393831253052,0.7812591791152954,21,0.0,0.0,0.0
0.9315875768661499,0.8224227428436279,22,0.6992025971412659,-0.3738071918487549,1.0
0.927109956741333,0.8625317215919495,23,0.6600901484489441,-0.41647136211395264,1.0
0.9168099761009216,0.9010847806930542,24,-2.401244640350342,0.4641416072845459,-1.0
0.8940218687057495,0.9282373189926147,25,0.558623194694519,-0.5022627711296082,1.0
0.8648921251296997,0.9553664922714233,26,-1.1449618339538574,1.890447974205017,-1.0
0.8265883922576904,0.9834541082382202,27,0.0,0.0,0.0
0.7874172925949097,1.0061731338500977,28,0.3853999376296997,-0.6424158215522766,1.0
0.7422364950180054,1.027724027633667,29,0.0,0.0,0.0
0.6985385417938232,1.0445165634155273,30,0.2940993309020996,-0.7483874559402466,1.0
0.651756763458252,1.0595756769180298,31,0.0,0.0,0.0
0.6096292734146118,1.0704361200332642,32,0.0,0.0,0.0
0.5710417628288269,1.078076958656311,33,0.0,0.0,0.0
0.5365957021713257,1.0832493305206299,34,-0.18054699897766113,1.0030468702316284,-1.0
0.5105505585670471,1.0850036144256592,35,-0.16614603996276855,0.9598599672317505,-1.0
0.4912909269332886,1.0825741291046143,36,-0.15602445602416992,0.9049606323242188,-1.0
0.4778973460197449,1.0751270055770874,37,-0.14923357963562012,0.8416367769241333,-1.0
0.4696112275123596,1.0616912841796875,38,-0.1451280117034912,0.7726255059242249,-1.0
0.46581074595451355,1.0418667793273926,39,0.14326953887939453,-1.3199527263641357,1.0
0.4587669372558594,1.0174379348754883,40,0.1398625373840332,-1.410041093826294,1.0
0.4488799273967743,0.9868366718292236,41,0.0,0.0,0.0
0.4399746060371399,0.9575470685958862,42,0.1310138702392578,-1.6024318933486938,1.0
0.42860397696495056,0.9229964017868042,43,0.0,0.0,0.0
0.4183811843395233,0.8906302452087402,44,-0.1212620735168457,0.4321022629737854,-1.0
0.4123641550540924,0.8542886972427368,45,-0.11861896514892578,0.3923535943031311,-1.0
